city,country,Pollution Level (Air Quality Index values),population
Delhi,India,96.4,15926000.0
Lahore,Pakistan,86.5,6577000.0
Lucknow,India,86.0,2695000.0
Kashgar,China,83.2,543914.0
Patna,India,78.2,2158000.0
Dhaka,Bangladesh,78.1,12797394.0
Kolkata,India,59.0,14787000.0
Jaipur,India,56.6,2917000.0
Shihezi,China,55.7,573182.0
Lampang,Thailand,52.2,204081.0
Aksu,China,51.2,340020.0
Kathmandu,Nepal,50.9,895000.0
Xiangyang,China,50.6,1069000.0
Manama,Bahrain,49.8,563920.0
Krasnoyarsk,Russia,49.8,925000.0
Luohe,China,49.7,417356.0
Turpan,China,49.6,254900.0
Heze,China,48.5,1338000.0
Liaocheng,China,47.6,226930.0
Wuhan,China,46.7,7243000.0
Shijiazhuang,China,46.5,2417000.0
Mumbai,India,46.4,18978000.0
Taiyuan,China,46.3,2913000.0
Yangquan,China,45.9,981448.0
Karachi,Pakistan,45.9,12130000.0
Xianyang,China,45.7,1126000.0
Weinan,China,45.3,172321.0
Xinzhou,China,44.9,279607.0
Zhoukou,China,44.8,377061.0
Fuyang,China,44.7,771000.0
Dezhou,China,44.1,379555.0
Zhengzhou,China,43.4,2636000.0
Yibin,China,43.3,902000.0
Changsha,China,43.0,2604000.0
Korla,China,42.1,206373.0
Suzhou,China,42.0,1650000.0
Jinan,China,42.0,2798000.0
Islamabad,Pakistan,41.1,780000.0
Chengdu,China,40.3,4123000.0
Wuwei,China,40.2,493092.0
Changde,China,40.0,1469000.0
Tianjin,China,39.9,7180000.0
Hyderabad,India,39.4,6376000.0
Changzhi,China,39.2,706000.0
Jakarta,Indonesia,39.2,9125000.0
Jinzhong,China,39.1,5170.0
Zhuzhou,China,39.0,1080000.0
Luzhou,China,38.3,1537000.0
Zhenjiang,China,37.7,854000.0
Deyang,China,37.7,152194.0
Jiujiang,China,37.3,545616.0
Lanzhou,China,37.1,2561000.0
Shenyang,China,37.0,4787000.0
Hanoi,Vietnam,36.2,4378000.0
Coyhaique,Chile,36.1,45787.0
