Pollution Level (Air Quality Index values),city,country,population
110.1,Hotan,China,261730.0
98.6,Delhi,India,15926000.0
104.6,Faisalabad,Pakistan,2617000.0
0,Bahawalpur,Pakistan,552607.0
63.9,Peshawar,Pakistan,1303000.0
81,Hisar,India,544829.0
59.7,Rohtak,India,317245.0
89.5,Lahore,Pakistan,6577000.0
90.3,Lucknow,India,2695000.0
87.1,Kashgar,China,543914.0
81.2,Muzaffarpur,India,333200.0
0,Sahiwal,Pakistan,235695.0
89.4,Bulandshahr,India,198612.0
0,Meerut,India,1398000.0
82.1,Patna,India,2158000.0
83.3,Dhaka,Bangladesh,12797394.0
89.1,Muzaffarnagar,India,349706.0
77.2,Jodhpur,India,995000.0
0,Osh,Kyrgyzstan,391277.0
0,Dushanbe,Tajikistan,1086244.0
59.8,Kolkata,India,14787000.0
41,Jalandhar,India,855000.0
73.7,Sirsa,India,181639.0
49.1,Kota,India,827000.0
50.5,Jaipur,India,2917000.0
63.3,Shihezi,China,573182.0
61.7,Linfen,China,834000.0
47.2,Amritsar,India,1212000.0
0,Muscat,Oman,734697.0
33.1,Lampang,Thailand,204081.0
0,Gwalior,India,978000.0
0,Port Harcourt,Nigeria,1020000.0
62.1,Hebi,China,244662.0
40.8,Rawalpindi,Pakistan,1858000.0
54,Aksu,China,340020.0
48,Kathmandu,Nepal,895000.0
60.4,Xiangyang,China,1069000.0
46.8,Manama,Bahrain,563920.0
17.7,Krasnoyarsk,Russia,925000.0
60,Luohe,China,417356.0
39.6,Baghdad,Iraq,5054000.0
56.3,Turpan,China,254900.0
57.7,Zibo,China,3061000.0
59.7,Heze,China,1338000.0
33.2,Bishkek,Kyrgyzstan,837000.0
56.6,Jining,China,1186000.0
56.6,Jining,China,281716.0
0,Angol,Chile,44856.0
58.8,Liaocheng,China,226930.0
61.3,Jiaozuo,China,857000.0
60,Nanyang,China,1944000.0
60.1,Pingdingshan,China,849000.0
44.4,Wuhan,China,7243000.0
59.4,Gaya,India,423692.0
0,Novi Pazar,Serbia,0.0
64,Shijiazhuang,China,2417000.0
45.3,Mumbai,India,18978000.0
53.4,Taiyuan,China,2913000.0
50.6,Yangquan,China,981448.0
40.2,Karachi,Pakistan,12130000.0
72.6,Shangqiu,China,1753000.0
63.7,Xianyang,China,1126000.0
64.3,Handan,China,1631000.0
0,Indore,India,2026000.0
57.7,Baoding,China,1107000.0
55.6,Weinan,China,172321.0
62.4,Luoyang,China,1715000.0
41.7,Xinzhou,China,279607.0
56.6,Zhoukou,China,377061.0
59.6,Zaozhuang,China,2145000.0
51.9,Fuyang,China,771000.0
51.9,Fuyang,China,170023.0
57.7,Linyi,China,2082000.0
43.4,Ujjain,India,513350.0
47.5,Zigong,China,1105000.0
53.4,Dezhou,China,379555.0
0,Khartoum,Sudan,4754000.0
63.5,Xingtai,China,611739.0
48.1,Ajmer,India,589985.0
52.6,Chandigarh,India,979000.0
0,Shymkent,Kazakhstan,465392.0
58.4,Zhengzhou,China,2636000.0
45.9,Yibin,China,902000.0
52.6,Tangshan,China,1879000.0
46.8,Changsha,China,2604000.0
46.4,Alwar,India,283228.0
41.2,Tashkent,Uzbekistan,2184000.0
56,Hengshui,China,456356.0
53.6,Binzhou,China,115893.0
44.6,Bhopal,India,1727000.0
0,Jabalpur,India,1285000.0
46.8,Xiangtan,China,2586948.0
55.1,Huaibei,China,913000.0
52.5,Huainan,China,1451000.0
35.7,Pune,India,4672000.0
42.3,Bloemfontein,South Africa,463064.0
53,Cangzhou,China,527681.0
47.1,Korla,China,206373.0
52.6,Suzhou,China,1964000.0
52.6,Suzhou,China,1650000.0
54.4,Jinan,China,2798000.0
0,Qingnian,China,110046.0
45.3,Jinzhou,China,956000.0
35.2,Islamabad,Pakistan,780000.0
42.4,Chengdu,China,4123000.0
33.1,Wuwei,China,493092.0
56.2,Weifang,China,1553000.0
47.1,Langfang,China,810000.0
47.5,Changde,China,1469000.0
51.3,Tianjin,China,7180000.0
43,Fushun,China,1470000.0
0,Nan,Thailand,82483.0
39,Hyderabad,India,6376000.0
51.3,Bengbu,China,894000.0
47.5,Changzhi,China,706000.0
0,Agartala,India,203264.0
49.4,Jakarta,Indonesia,9125000.0
47.8,Xinyang,China,1541000.0
45.5,Jinzhong,China,5170.0
46.3,Zhuzhou,China,1080000.0
42,Leshan,China,1157000.0
40.8,Luzhou,China,1537000.0
20.7,Klang,Malaysia,956000.0
0,Doha,Qatar,1450000.0
42.6,Shashi,China,520000.0
45,Zhenjiang,China,854000.0
39.9,Deyang,China,152194.0
58.8,Kabul,Afghanistan,3277000.0
46.3,Pingdu,China,91077.0
53.4,Jiujiang,China,545616.0
0,Bam,Iran,99268.0
35.7,Lanzhou,China,2561000.0
41.6,Shenyang,China,4787000.0
0,Esik,Kazakhstan,35319.0
40.9,Dubai,United Arab Emirates,1379000.0
40.3,Liaoyang,China,794000.0
0,Hangu,China,332793.0
35.5,Xinpu,China,715600.0
39.2,Anshan,China,1639000.0
46.9,Hanoi,Vietnam,4378000.0
41.5,Coyhaique,Chile,45787.0
43.6,Qinhuangdao,China,1003000.0
44.7,Changzhou,China,1327000.0
42.1,Hengyang,China,1016000.0
35.2,Neijiang,China,1466000.0
37.8,Mianyang,China,1396000.0
34.5,Shizuishan,China,136570.0
54.1,Jincheng,China,760000.0
17.1,Pokhara,Nepal,200000.0
0,Herceg-Novi,Montenegro,0.0
36.1,Baotou,China,2036000.0
23,Karaj,Iran,1423000.0
41.2,Yingkou,China,795000.0
38.8,Shuozhou,China,570000.0
40.6,Surabaya,Indonesia,2845000.0
37.9,Valjevo,Serbia,0.0
0,Erzurum,Turkey,420691.0
42.1,Beijing,China,11106000.0
49.8,Yiyang,China,1352000.0
43,Yangzhou,China,539715.0
0,Almaty,Kazakhstan,1209000.0
44.4,Wuhu,China,810000.0
45,Taizhou,China,612356.0
25.5,Yerevan,Armenia,1102000.0
40,Tieling,China,340000.0
62,Ulaanbaatar,Mongolia,885000.0
33.2,Konya,Turkey,919000.0
38.4,Abu Dhabi,United Arab Emirates,603492.0
39.1,Harbin,China,3621000.0
0,Jieshou,China,141993.0
25.9,Haldia,India,200762.0
0,Bandung,Indonesia,2394000.0
11.8,Coronel,Chile,92940.0
29.8,Hancheng,China,222135.0
40.6,Huangshi,China,688090.0
0,Dhahran,Saudi Arabia,97446.0
0,Jeddah,Saudi Arabia,3012000.0
38.4,Yongzhou,China,1000000.0
20.2,Temuco,Chile,265901.0
45.5,Anqing,China,580497.0
37.1,Suihua,China,252245.0
46.2,Rizhao,China,865000.0
43.8,Hefei,China,2035000.0
37.6,Liaoyuan,China,506548.0
36.3,Fuxin,China,770000.0
0,Saugor,India,328240.0
22.1,Riyadh,Saudi Arabia,4465000.0
0,Gornji Milanovac,Serbia,0.0
33.3,Xining,China,1048000.0
36.9,Pingxiang,China,961000.0
36.9,Pingxiang,China,31109.0
36,Chaoyang,China,470296.0
31.8,Zhangye,China,230728.0
25.9,Tehran,Iran,7873000.0
31.3,Phrae,Thailand,38538.0
23.7,Lima,Peru,8012000.0
34.4,Liuzhou,China,1497000.0
36.7,Changchun,China,3183000.0
43.9,Jiujiang,China,545616.0
33,Yulin,China,1127000.0
0,Gangtok,India,77900.0
37.1,Chongqing,China,6461000.0
20.8,Jinchang,China,144363.0
25.1,Mashhad,Iran,2469000.0
0,Erzincan,Turkey,129407.0
36.4,Hohhot,China,1726000.0
35.1,Xinyu,China,913000.0
34.9,Nanchang,China,2350000.0
0,Beichengqu,China,99174.0
37.7,Nantong,China,947000.0
31.3,Wuhai,China,218427.0
35.7,Yichun,China,982000.0
35.7,Yichun,China,777000.0
0,Xuanzhou,China,866000.0
31,Suining,China,1425000.0
31,Yinchuan,China,991000.0
39.9,Wuxi,China,1749000.0
39.4,Qingdao,China,2866000.0
0,Hubli,India,890000.0
38.3,Kuwait City,Kuwait,2063000.0
0,Benin City,Nigeria,1190000.0
30,Chengde,China,449325.0
0,Vushtrri,Kosovo,0.0
26.5,Jiayuguan,China,148279.0
32.6,Yulin,China,1127000.0
34.4,Jilin,China,2396000.0
40.5,Nanjing,China,3679000.0
0,Taraz,Kazakhstan,358153.0
40.5,Yancheng,China,839000.0
28.6,Tongchuanshi,China,282258.0
0,Phayao,Thailand,21058.0
35.1,Benxi,China,1012000.0
26.4,Tirupati,India,287035.0
29.8,Kayseri,Turkey,592840.0
32.9,Guilin,China,987000.0
37.7,Suzhou,China,1964000.0
37.7,Suzhou,China,1650000.0
0,Semarang,Indonesia,1396000.0
0,Mae Hong Son,Thailand,9109.0
31.7,Mudanjiang,China,1244000.0
36.5,Shiyan,China,770000.0
13.7,Yazd,Iran,477905.0
0,Nakhon Phanom,Thailand,55377.0
29.8,Kumul,China,300848.0
24.5,Smederevo,Serbia,0.0
35.9,Amasya,Turkey,82896.0
30.2,Nanning,China,2167000.0
39.2,Hanzhong,China,145986.0
0,Belgaum,India,608756.0
37.5,Yantai,China,2116000.0
0,Lamphun,Thailand,14030.0
32,Dandong,China,870000.0
34.3,Dalian,China,3167000.0
35.4,Shanghai,China,14987000.0
38.1,Shaoxing,China,777000.0
35.7,Siping,China,555609.0
29.1,Kampala,Uganda,1420000.0
37.4,Hangzhou,China,3007000.0
20.4,Shah Alam,Malaysia,481654.0
30.2,Chenzhou,China,322997.0
0,Abuja,Nigeria,1576000.0
25.3,Johannesburg,South Africa,3435000.0
27.1,Jiamusi,China,1020000.0
0,Fuyang,China,771000.0
0,Fuyang,China,170023.0
37,Chiang Rai,Thailand,117127.0
30,Vereeniging,South Africa,1074000.0
35,Jiaxing,China,988000.0
31.4,Shangrao,China,1144577.0
15.7,Szeged,Hungary,187765.0
0,Nong Bua Lamphu,Thailand,0.0
27.1,Jixi,China,965000.0
22.7,Saraburi,Thailand,70769.0
0,Palembang,Indonesia,1749000.0
27.6,Mae Sot,Thailand,45781.0
26.3,Bursa,Turkey,1492000.0
30.3,Accra,Ghana,2121000.0
0,Gliwice,Poland,507670.0
27.7,Santiago,Chile,5720000.0
29.8,Baishan,China,330000.0
0,Beirut,Lebanon,1846000.0
32.4,Jinhua,China,1092852.0
0,Zagreb,Croatia,722526.0
28.7,Wuzhou,China,442315.0
0,Rustenburg,South Africa,165976.0
26.9,Rancagua,Chile,233268.0
18,Jinchang,China,144363.0
18.9,Guadalajara,Mexico,4198000.0
28.5,Shuangyashan,China,500000.0
31.4,Weihai,China,560255.0
32.2,Huzhou,China,1231000.0
0,Suphan Buri,Thailand,53399.0
34.6,Chennai,India,7163000.0
26.3,Hechi,China,3830000.0
24.7,Kragujevac,Serbia,171197.0
0,Phitsanulok,Thailand,164017.0
27.2,Daqing,China,1693000.0
32.3,Chiang Mai,Thailand,397211.0
28.3,Shaoguan,China,720266.0
0,Jining,China,1186000.0
0,Jining,China,281716.0
0,Kochi,India,1519000.0
26.9,Beihai,China,728978.0
28.9,Guangzhou,China,8829000.0
